day,inverts,fish
108,0.25,0.75
109,0.25,0.75
110,0.25,0.75
111,0.25,0.75
112,0.25,0.75
113,0.25,0.75
114,0.25,0.75
115,0.25,0.75
116,0.25,0.75
117,0.25,0.75
118,0.25,0.75
119,0.25,0.75
120,0.25,0.75
121,0.25,0.75
122,0.25,0.75
123,0.25,0.75
124,0.25,0.75
125,0.25,0.75
126,0.25,0.75
127,0.25,0.75
128,0.25,0.75
129,0.25,0.75
130,0.25,0.75
131,0.25,0.75
132,0.25,0.75
133,0.25,0.75
134,0.25,0.75
135,0.25,0.75
136,0.25,0.75
137,0.25,0.75
138,0.25,0.75
139,0.25,0.75
140,0.25,0.75
141,0.25,0.75
142,0.25,0.75
143,0.25,0.75
144,0.25,0.75
145,0.25,0.75
146,0.25,0.75
147,0.25,0.75
148,0.25,0.75
149,0.25,0.75
150,0.25,0.75
151,0.25,0.75
152,0.25,0.75
153,0.25,0.75
154,0.25,0.75
155,0.25,0.75
156,0.25,0.75
157,0.25,0.75
158,0.25,0.75
159,0.25,0.75
160,0.25,0.75
161,0.25,0.75
162,0.25,0.75
163,0.25,0.75
164,0.25,0.75
165,0.25,0.75
166,0.25,0.75
167,0.25,0.75
168,0.25,0.75
169,0.25,0.75
170,0.25,0.75
171,0.25,0.75
172,0.25,0.75
173,0.25,0.75
174,0.25,0.75
175,0.25,0.75
176,0.25,0.75
177,0.25,0.75
178,0.25,0.75
179,0.25,0.75
180,0.25,0.75
181,0.25,0.75
182,0.25,0.75
183,0.25,0.75
184,0.25,0.75
185,0.25,0.75
186,0.25,0.75
187,0.25,0.75
188,0.25,0.75
189,0.25,0.75
190,0.25,0.75
191,0.25,0.75
192,0.25,0.75
193,0.25,0.75
194,0.25,0.75
195,0.25,0.75
196,0.25,0.75
197,0.25,0.75
198,0.25,0.75
199,0.25,0.75
200,0.25,0.75
201,0.25,0.75
202,0.25,0.75
203,0.25,0.75
204,0.25,0.75
205,0.25,0.75
206,0.25,0.75
207,0.25,0.75
208,0.25,0.75
209,0.25,0.75
210,0.25,0.75
211,0.25,0.75
212,0.25,0.75
213,0.25,0.75
214,0.25,0.75
215,0.25,0.75
216,0.25,0.75
217,0.25,0.75
218,0.25,0.75
219,0.25,0.75
220,0.25,0.75
221,0.25,0.75
222,0.25,0.75
223,0.25,0.75
224,0.25,0.75
225,0.25,0.75
226,0.25,0.75
227,0.25,0.75
228,0.25,0.75
229,0.25,0.75
230,0.25,0.75
231,0.25,0.75
232,0.25,0.75
233,0.25,0.75
234,0.25,0.75
235,0.25,0.75
236,0.25,0.75
237,0.25,0.75
238,0.25,0.75
239,0.25,0.75
240,0.25,0.75
241,0.25,0.75
242,0.25,0.75
243,0.25,0.75
244,0.25,0.75
245,0.25,0.75
246,0.25,0.75
247,0.25,0.75
248,0.25,0.75
249,0.25,0.75
250,0.25,0.75
251,0.25,0.75
252,0.25,0.75
253,0.25,0.75
254,0.25,0.75
255,0.25,0.75
256,0.25,0.75
257,0.25,0.75
258,0.25,0.75
259,0.25,0.75
260,0.25,0.75
261,0.25,0.75
262,0.25,0.75
263,0.25,0.75
264,0.25,0.75
265,0.25,0.75
266,0.25,0.75
267,0.25,0.75
268,0.25,0.75
269,0.25,0.75
270,0.25,0.75
271,0.25,0.75
272,0.25,0.75
273,0.25,0.75
274,0.25,0.75
275,0.25,0.75
276,0.25,0.75
277,0.25,0.75
278,0.25,0.75
279,0.25,0.75
280,0.25,0.75
281,0.25,0.75
282,0.25,0.75
283,0.25,0.75
284,0.25,0.75
285,0.25,0.75
286,0.25,0.75
287,0.25,0.75
288,0.25,0.75
289,0.25,0.75
290,0.25,0.75
291,0.25,0.75
292,0.25,0.75
293,0.25,0.75
294,0.25,0.75
295,0.25,0.75
296,0.25,0.75
297,0.25,0.75
298,0.25,0.75
299,0.25,0.75
300,0.25,0.75
301,0.25,0.75
302,0.25,0.75
303,0.25,0.75
304,0.25,0.75
305,0.25,0.75
306,0.25,0.75
307,0.25,0.75
308,0.25,0.75
309,0.25,0.75
310,0.25,0.75
311,0.25,0.75
312,0.25,0.75
313,0.25,0.75
314,0.25,0.75
315,0.25,0.75
316,0.25,0.75
317,0.25,0.75
318,0.25,0.75
319,0.25,0.75
320,0.25,0.75
321,0.25,0.75
322,0.25,0.75
323,0.25,0.75
324,0.25,0.75
325,0.25,0.75
326,0.25,0.75
327,0.25,0.75
328,0.25,0.75
329,0.25,0.75
330,0.25,0.75
331,0.25,0.75
332,0.25,0.75
333,0.25,0.75
334,0.25,0.75
335,0.25,0.75
336,0.25,0.75
337,0.25,0.75
338,0.25,0.75
339,0.25,0.75
340,0.25,0.75
341,0.25,0.75
342,0.25,0.75
343,0.25,0.75
344,0.25,0.75
345,0.25,0.75
346,0.25,0.75
347,0.25,0.75
348,0.25,0.75
349,0.25,0.75
350,0.25,0.75
351,0.25,0.75
352,0.25,0.75
353,0.25,0.75
354,0.25,0.75
355,0.25,0.75
356,0.25,0.75
357,0.25,0.75
358,0.25,0.75
359,0.25,0.75
360,0.25,0.75
361,0.25,0.75
362,0.25,0.75
363,0.25,0.75
364,0.25,0.75
365,0.25,0.75
