Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
15-Sep,14.73,601.53,3.24,2.16,5.4
16-Sep,14.36,604.18,3.07,2.05,10.51
17-Sep,14.07,606.66,2.93,1.95,15.39
18-Sep,13.96,609.08,2.88,1.92,20.19
19-Sep,13.86,611.45,2.83,1.89,24.9
20-Sep,13.63,613.66,2.71,1.8,29.41
21-Sep,13.2,615.57,2.46,1.64,33.52
22-Sep,13.2,617.49,2.47,1.65,37.64
23-Sep,13.4,619.56,2.59,1.73,41.96
24-Sep,13.22,621.5,2.5,1.66,46.12
25-Sep,12.85,623.17,2.27,1.52,49.91
26-Sep,12.85,624.83,2.28,1.52,53.71
27-Sep,13.02,626.64,2.39,1.59,57.69
28-Sep,12.96,628.4,2.35,1.57,61.61
29-Sep,12.42,629.75,2.03,1.35,64.99
30-Sep,11.91,630.71,1.73,1.15,67.87
1-Oct,11.56,631.43,1.53,1.02,70.42
2-Oct,11.44,632.07,1.47,0.98,72.87
3-Oct,11.24,632.58,1.37,0.91,75.15
4-Oct,10.73,632.77,1.12,0.74,77.01
5-Oct,10.4,632.8,0.98,0.65,78.64
6-Oct,10.66,632.96,1.09,0.72,80.45
7-Oct,10.79,633.19,1.14,0.76,82.35
8-Oct,10.58,633.31,1.05,0.7,84.11
9-Oct,10.32,633.3,0.94,0.63,85.68
10-Oct,9.58,632.98,0.68,0.45,86.81
11-Oct,8.99,632.48,0.52,0.34,87.67
12-Oct,8.02,631.81,0.32,0.21,88.2
13-Oct,7.64,631.09,0.26,0.18,88.64
14-Oct,7.53,630.36,0.25,0.17,89.06
15-Oct,7.78,629.66,0.28,0.19,89.53
16-Oct,7.91,628.97,0.3,0.2,90.03
17-Oct,8.23,628.33,0.35,0.24,90.62
18-Oct,8.34,627.7,0.37,0.25,91.24
19-Oct,8.39,627.08,0.38,0.25,91.88
20-Oct,8.33,626.45,0.37,0.25,92.5
21-Oct,8.23,625.81,0.35,0.24,93.08
22-Oct,8.22,625.17,0.35,0.23,93.67
23-Oct,8.13,624.51,0.33,0.22,94.23
24-Oct,7.69,623.8,0.27,0.18,94.67
25-Oct,7.24,623.06,0.21,0.14,95.03
26-Oct,7.23,622.32,0.21,0.14,95.38
27-Oct,7,621.56,0.19,0.13,95.69
28-Oct,6.83,620.81,0.17,0.11,95.98
29-Oct,6.48,620.04,0.14,0.1,96.22
30-Oct,6.42,619.27,0.14,0.09,96.45
31-Oct,5.85,618.51,0.1,0.07,96.62
1-Nov,5.19,617.76,0.07,0.05,96.74
2-Nov,5.12,617.01,0.07,0.05,96.86
3-Nov,5.15,616.26,0.07,0.05,96.98
4-Nov,5.24,615.51,0.07,0.05,97.1
5-Nov,5.43,614.76,0.08,0.05,97.24
6-Nov,5.46,614,0.08,0.06,97.38
7-Nov,5.29,613.25,0.08,0.05,97.51
8-Nov,4.42,612.53,0.05,0.03,97.59
9-Nov,3.46,611.86,0.03,0.02,97.63
10-Nov,3.42,611.19,0.03,0.02,97.68
11-Nov,3.46,610.52,0.03,0.02,97.73
12-Nov,3.23,609.86,0.03,0.02,97.77
13-Nov,3.14,609.21,0.02,0.02,97.81
14-Nov,3.54,608.54,0.03,0.02,97.86
15-Nov,4.03,607.84,0.04,0.03,97.93
16-Nov,4.19,607.14,0.04,0.03,98
17-Nov,3.79,606.46,0.03,0.02,98.05
18-Nov,3.22,605.8,0.03,0.02,98.09
19-Nov,2.87,605.17,0.02,0.01,98.13
20-Nov,2.73,604.54,0.02,0.01,98.16
21-Nov,2.38,603.93,0.02,0.01,98.19
22-Nov,1.92,603.35,0.01,0.01,98.21
23-Nov,1.97,602.76,0.01,0.01,98.23
24-Nov,2.23,602.16,0.01,0.01,98.25
25-Nov,2.02,601.57,0.01,0.01,98.28
26-Nov,1.62,601.01,0.01,0.01,98.29
27-Nov,1.6,600.44,0.01,0.01,98.31
28-Nov,1.87,599.86,0.01,0.01,98.33
29-Nov,2.08,599.27,0.01,0.01,98.35
30-Nov,1.73,598.7,0.01,0.01,98.37
