Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
15-Sep,14.73,601.53,2.29,2.29,4.58
16-Sep,14.36,604.18,2.17,2.17,8.92
17-Sep,14.07,606.66,2.07,2.07,13.06
18-Sep,13.96,609.08,2.04,2.04,17.14
19-Sep,13.86,611.45,2,2,21.14
20-Sep,13.63,613.66,1.91,1.91,24.97
21-Sep,13.2,615.57,1.74,1.74,28.46
22-Sep,13.2,617.49,1.75,1.75,31.95
23-Sep,13.4,619.56,1.84,1.84,35.62
24-Sep,13.22,621.5,1.77,1.77,39.16
25-Sep,12.85,623.17,1.61,1.61,42.37
26-Sep,12.85,624.83,1.61,1.61,45.59
27-Sep,13.02,626.64,1.69,1.69,48.97
28-Sep,12.96,628.4,1.67,1.67,52.3
29-Sep,12.42,629.75,1.43,1.43,55.17
30-Sep,11.91,630.71,1.22,1.22,57.62
1-Oct,11.56,631.43,1.08,1.08,59.79
2-Oct,11.44,632.07,1.04,1.04,61.86
3-Oct,11.24,632.58,0.97,0.97,63.8
4-Oct,10.73,632.77,0.79,0.79,65.38
5-Oct,10.4,632.8,0.69,0.69,66.76
6-Oct,10.66,632.96,0.77,0.77,68.3
7-Oct,10.79,633.19,0.81,0.81,69.92
8-Oct,10.58,633.31,0.74,0.74,71.41
9-Oct,10.32,633.3,0.67,0.67,72.74
10-Oct,9.58,632.98,0.48,0.48,73.7
11-Oct,8.99,632.48,0.36,0.36,74.43
12-Oct,8.02,631.81,0.23,0.23,74.88
13-Oct,7.64,631.09,0.19,0.19,75.25
14-Oct,7.53,630.36,0.18,0.18,75.61
15-Oct,7.78,629.66,0.2,0.2,76.01
16-Oct,7.91,628.97,0.21,0.21,76.43
17-Oct,8.23,628.33,0.25,0.25,76.93
18-Oct,8.34,627.7,0.26,0.26,77.46
19-Oct,8.39,627.08,0.27,0.27,78
20-Oct,8.33,626.45,0.26,0.26,78.53
21-Oct,8.23,625.81,0.25,0.25,79.03
22-Oct,8.22,625.17,0.25,0.25,79.52
23-Oct,8.13,624.51,0.24,0.24,80
24-Oct,7.69,623.8,0.19,0.19,80.38
25-Oct,7.24,623.06,0.15,0.15,80.68
26-Oct,7.23,622.32,0.15,0.15,80.98
27-Oct,7,621.56,0.13,0.13,81.24
28-Oct,6.83,620.81,0.12,0.12,81.49
29-Oct,6.48,620.04,0.1,0.1,81.69
30-Oct,6.42,619.27,0.1,0.1,81.89
31-Oct,5.85,618.51,0.07,0.07,82.03
1-Nov,5.19,617.76,0.05,0.05,82.13
2-Nov,5.12,617.01,0.05,0.05,82.23
3-Nov,5.15,616.26,0.05,0.05,82.33
4-Nov,5.24,615.51,0.05,0.05,82.44
5-Nov,5.43,614.76,0.06,0.06,82.56
6-Nov,5.46,614,0.06,0.06,82.67
7-Nov,5.29,613.25,0.05,0.05,82.78
8-Nov,4.42,612.53,0.03,0.03,82.85
9-Nov,3.46,611.86,0.02,0.02,82.89
10-Nov,3.42,611.19,0.02,0.02,82.93
11-Nov,3.46,610.52,0.02,0.02,82.97
12-Nov,3.23,609.86,0.02,0.02,83.01
13-Nov,3.14,609.21,0.02,0.02,83.04
14-Nov,3.54,608.54,0.02,0.02,83.08
15-Nov,4.03,607.84,0.03,0.03,83.14
16-Nov,4.19,607.14,0.03,0.03,83.2
17-Nov,3.79,606.46,0.02,0.02,83.24
18-Nov,3.22,605.8,0.02,0.02,83.28
19-Nov,2.87,605.17,0.01,0.01,83.31
20-Nov,2.73,604.54,0.01,0.01,83.34
21-Nov,2.38,603.93,0.01,0.01,83.36
22-Nov,1.92,603.35,0.01,0.01,83.38
23-Nov,1.97,602.76,0.01,0.01,83.4
24-Nov,2.23,602.16,0.01,0.01,83.42
25-Nov,2.02,601.57,0.01,0.01,83.43
26-Nov,1.62,601,0.01,0.01,83.45
27-Nov,1.6,600.44,0.01,0.01,83.46
28-Nov,1.87,599.86,0.01,0.01,83.48
29-Nov,2.08,599.27,0.01,0.01,83.5
30-Nov,1.73,598.7,0.01,0.01,83.52
